ts_code,name,price
002322.SZ,理工环科,12.649999999999999
002323.SZ,*ST百特,0.0
002324.SZ,普利特,10.489999999999998
002325.SZ,洪涛股份,3.1399999999999997
002326.SZ,永太科技,7.470000000000001
002327.SZ,富安娜,6.725
002328.SZ,新朋股份,3.7800000000000002
002329.SZ,皇氏集团,4.1850000000000005
002330.SZ,得利斯,6.955
002331.SZ,皖通科技,10.77
002332.SZ,仙琚制药,7.585
002333.SZ,*ST罗普,4.0600000000000005
002334.SZ,英威腾,4.845
002335.SZ,科华恒盛,18.195
002336.SZ,*ST人乐,5.404999999999999
002337.SZ,赛象科技,3.995
002338.SZ,奥普光电,13.114999999999998
002339.SZ,积成电子,6.025
002340.SZ,格林美,4.415
002341.SZ,新纶科技,5.225
002342.SZ,巨力索具,3.335
002343.SZ,慈文传媒,7.2
